particulars,uom,unit_cost,supply_code,specifications,category_item_id,category_item_budget_id,category_group_id,is_ppmp
Medallion,UNIT,1000,OTS-1115,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Medals  (4 x 4) with lan yard (3 mm Clear Acrylic; 3 mm Black Acrylic; White Sticker; Transparent stickers,PIECE,220,OS-303,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Medals/Medallion,PIECE,550,TS-083,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
PRIDE: Speakers,PERSON,100000,TS-201,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Pageant Attire (Casual Wear; Swimsuit/Swimming Trunks; Evening Gown/Barong Tagalog),PIECE,13689.34,OTS-112,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Philippine National Flag,PIECE,284.84,DBM-55121905-PH-F01,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Plaque,UNIT,5000,OTS-1116,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Plaque,PIECE,2093.66,TS-097,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Plaque,PIECE,1650,TS-634,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Plaque (2023 alumni outstanding),PIECE,2500,OTS-351,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Plaque (Guest speaker),PIECE,2500,OTS-350,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Plaques of Appreciation,PIECE,2000,OTS-1115,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Plastic Leaves,PIECE,60,OOS-006,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Polo Shirt with print (assorted sizes customized),PIECE,550,OTS-361,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Polo-shirt with Print (Assorted Sizes customized),LOT,550,OTS-1014,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Project t-shirt for student facilitators and faculty,LOT,24000,OTS-935,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Promotinal customized polo shirt assorted sizes examiners andfacilitator,PIECE,665.5,OTS,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Promotional -Customized Polo Shirt Assorted Sizes Examiners and Facilitators,PIECE,665.5,OTS-318,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Promotional-Jacket lightweight casual with print (Assorted Sizes customized),PIECE,1320,OTS-319,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
RETIREMENT PLAQUE,PIECE,2923.09,OTS-150,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
RETIREMENT RING (18K;11grams),PIECE,83453.7,OTS-153,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
ROTC UNIFORM,PERSON,4026.28,OTS-162,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Rank Insignia,PIECE,30,OS-383,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Retirement Ring (18K; 11 grams),PIECE,58300,OTS-151,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Retirement Ring (18K; 11gms),PIECE,44000,OTS-152,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Ribbon for Graduates,PIECE,26.59,OTS-154,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Ribbon for Graduates and Parents,PIECE,26.59,OTS-155,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
"Ribbon; plastic 3"" (Red)",ROLL,451.76,OS-179,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
"Ribbon; plastic 3"" (White)",ROLL,451.76,OS-180,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
"Ribbon; plastic 3"" (Yellow)",ROLL,451.76,OS-181,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Ribonette; Organza; 5/8 with gold/silver edge,ROLL,531.47,OS-182,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Royal Guard Uniform,PIECE,8000,OTS-336,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
SKSU Banner,PIECE,1071.81,OTS-177,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
SKSU MEDALLION,PIECE,708.62,OTS-180,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
SKSU Medallion,PIECE,2923.09,OTS-181,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
SKSU logo (banner),PIECE,708.62,OTS-178,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Salay,PIECE,1903.33,OTS-297,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Shirts and Jackets,LOT,33000,OTS-1085,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Singlet (Sublimated),PIECE,350,OTS-062,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Slacks,PIECE,732.05,OTS-182,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Sponsor and Escort Sash,PIECE,20,OTS-802,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Stage Decoration,LOT,16500,OTS-1019,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Supplies & Materials Expense Medal & Plaques,LOT,10514,PUB-0008,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Supplies and Materials T Shirt & ID,LOT,21317,PUB-0010,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
T SHIRTWITH  PRINTING,PIECE,308,OTS-1012,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
T-SHIRT WITH PRINTING,PIECE,280,OTS-227-,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
T-Shirt with Printing (Different Activities size),SET,563.67,OTS-227,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
T-shirt and Jacket,PIECE,800,OTS-229,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
T-shirt with Print (Assorted Sizes customized),PIECE,779.48,OTS-226,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
T-shirt with printing (different activities; different size),PIECE,708.62,OTS-228,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
TIB-ONG: Speakers,PERSON,30000,TS-202,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tarpaulin (12' x 8'),PIECE,2112,OTS-330,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tarpaulin Eyelit 50pcs/pack,PACK,880,OTS-305,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tarpaulin Printing (w2 x h2),PIECE,960,OTS-349,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tarpaulin Printing (w3xh2),PIECE,1260,OTS-348,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tarpaulin Stand (2.5x6ft) Aluminum or Steel,PIECE,330,OTS-244,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tela (Cloth) White,ROLL,3300,TS-712,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tela (Cloth) Yellow,ROLL,3850,TS-714,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Toga for Honoris Causa/ Guest Speaker,UNIT,6500,OTS-1114,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Token for Candidates,PIECE,2834.5,OTS-217,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Token/Certificates/Garland/Corsage of the guest speaker and guests (4 persons x 500 each ),PIECE,885.79,OTS-218,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tokens,PERSON,1650,TS-111,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Trophy,PIECE,1650,TS-633,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Tshirt,PIECE,805.26,OTS-225,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Wrapper for tokens,PIECE,805.26,OTS-240,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
cloth  silk for presidential table (assorted color),UNIT,100,OTS-1121,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
cloth (alphagena green and white),UNIT,7000,OTS-1120,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
prizes,LOT,50000,OTS,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
10 Inches Circular Saw Blade,UNIT,1948.72,CP-001,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
10 pieces Pale10 pieces Dipper4 pieces Big Basin4 pieces Medium Basin4 pieces Small Basin1 piece Plastic Drum with Cover Water Storage Container,LOT,10000,OSMI-007,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
10mm Diameter Deformed Bars,PIECE,354.31,CP-002,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
12 Inches Circular Saw Blade,UNIT,2480.18,CP-003,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
"12"" Stainless steel  food tong with silicon head",PIECE,88,04LE-866,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
12'' stainless steel food tong with silicon head,PIECE,117.13,04LE-111,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
14 Inches Circular Saw Blade,UNIT,3720.28,CP-004,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
150 bottles(Slim),PIECE,221.45,OTS-001,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
2.5 gallon/ 10L Mini water container,GALLON,439.23,TS-140,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
24 in one Marble Cutlery Set Stainless Steel W/ Spoon Teaspoon,SET,490,51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
3 pcs Straight Razor,PIECE,5000,BE-05,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
50 bottles(Round),PIECE,265.74,OTS-002,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
"7"" stainless steel pasta maker: 7-3/4""L x 9-1/2'W x 5-5/8"" H (with handle)",UNIT,3327.5,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
7.25 Inches Circular Saw Blade,UNIT,885.79,CP-006,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
7in1 stainless Kitchenware Nordic Stainless Steel kitchenware ceramic seven-piece,SET,1500,51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
A4 Picture Frame,REAM,140,OS-342,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
A4 Picture Frame,PIECE,75,OS-335,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
APTITUDE TESTING MATERIALS,PIECE,1111.25,04LE-32,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Glass Trophy (10 inches),PIECE,177.16,OTS-005,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Medal ( silver Ribbon),PIECE,141.72,OTS-006,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Medal (Gold Ribbon),PIECE,141.72,OTS-008,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Medal (bronze Ribbon),PIECE,141.72,OTS-007,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Medal Award 7cm round; 0.8cm thick with lei,PIECE,322.1,OTS-009,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Plaque (big) 16 inches,PIECE,3188.81,OTS-010,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Plaque (big) 18 inches,PIECE,3543.12,OTS-011,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Plaque (medium) 12 inches,PIECE,2338.46,OTS-012,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Plaque (medium) 14 inches,PIECE,2834.5,OTS-013,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Plaque (small) 10 inches,PIECE,1594.41,OTS-014,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Acrylic Sinage,LOT,40262.75,51OE-23,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Active Dry Yeast (g),GRAMS,146.41,OTS-263,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Addmen Answer Sheet for SKSU; 1;815 sheets design with lay-out design,LOT,37938.75,OTS-331,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Addmen OMR Answer Sheet,PIECE,30.75,OTS-319,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Addmen OMR Answer Sheet and Layout,PIECE,27.5,OTS-1074,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alcohol lamp,PIECE,292.31,04LE-13,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
All Purpose flour,KG,73.21,OTS-260,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
All purpose Cream,GALLON,805.26,TS-002,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alpha Gina (Green),METER,45,OOS-003,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alpha Gina (White),METER,45,OOS-004,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alphagina Plain Tela per roll (Blue),UNIT,3850,OTS-1004,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alphagina Plain Tela per roll (Green),UNIT,3850,OTS-1001,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alphagina Plain Tela per roll (Red),UNIT,3850,OTS-1003,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alphagina Plain Tela per roll (White),UNIT,3850,OTS-1000,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alphagina Plain Tela per roll (yellow),UNIT,3850,OTS-1002,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Aluminum Tray Baked Sushi Platter 12x8x2 inches 5 Pieces (22 each) with flat LID,PIECE,212.59,TS-003,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Aluminum foil,ROLL,389.74,LE-027,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Alumminum Foil,ROLL,88.58,04LE-16,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Apple Corer,UNIT,1240.1,04LE-29,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Apro (Water proof),PIECE,658.85,OTS-253,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Apron/gloves/hairnets,SET,483.15,04LE-31,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Automatic Soap Dispenser; Foam Alcohol Dispenser Soap Induction Liquid Hand Sanitize 300ML,PIECE,1265,CE-005,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
BED SHEET,PIECE,350,51OE-4-2,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Baking Pan Square,PIECE,177.16,04LE-48,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
"Baking Pan; square; 9x13""",PIECE,153.74,OTS-284,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Baking Pan/Tray,UNIT,531.47,04LE-49,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Baking Paper,ROLL,88.58,04LE-50,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bamboo Laddle,PIECE,265.74,29KU-1,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Basin big,PIECE,500,OTS-1147,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Basin medium,PIECE,400,OTS-1148,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Basin small,PIECE,300,OTS-1149,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Basin(5.5Liter),UNIT,177.16,04LE-56,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bassin (medium),PIECE,531.47,04LE-57,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bath Soap Bar,BAR,63.78,OTS-022,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bath Soap; 60g`,BAR,22,OTS-851,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bath Towel,PIECE,442.89,OTS-023,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
"Bath towels (Made with cotton; L17.5"" x 8"" x 22.5""; plain colors only)",PIECE,389.74,53MED-19,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
"Bath towels (Made with cotton; L17.5"" x 8"" x 22.5""; white)",PIECE,292.82,MED-224,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
BathTowel,PIECE,402.63,51OE-32,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Battery (AAA),UNIT,300,OTS-512,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
"Beam molds; 6""x6""x21""",UNIT,5314.68,04LE-68,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bed Linen White (8x10 feet),PIECE,857.43,53MED-20,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bed linens (Ready made; cotton fabric; single bed size; plain color: Blue),PIECE,658.85,MED-222,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bed linens (Ready made; cotton fabric; single bed size; plain color: white),SET,876.93,53MED-21,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Beddings,UNIT,2657.35,51OE-33,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Beddings ( 3sets sheet and pillow cover; 4pcs of pillows),SET,26573.42,51OE-34,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Black net double width,ROLL,26210.26,AG-005-1,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Blade for general purpose cutter/utility knife,TUBE,16,DBM-44121612-BL-H01,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Blanket (Double),PIECE,1071.81,51OE-35,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Blanket (Ready made; Cotton fabric; regular size blanket for single bed; plain color: white),PIECE,531.47,53MED-25,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Blanket (Single),PIECE,779.48,51OE-36,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Boning Knife,PIECE,584.62,29KU-2,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bottled Water (350ml),BOTTLE,22,OTS-235,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bottles round,BOTTLE,265.74,OTS-024,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bouquet of Flowers for Female Candidates,BOUQUET,4392.3,OTS-338,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Bowl (Soup),PIECE,55,29KU,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Breadboard,PIECE,301.17,28CA-40,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Brine container (50L),PIECE,495,04LE-115,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Budding knife; Heavy Duty,PIECE,643.08,18GT-8,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Buffer PB 500mL,BOTTLE,4400,04LE-903,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Butter,KILO,80.53,OTS-907,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
CANDLE JAR (METAL JAR: 12 INCHES TALL; 4.5 INCHES DIAMETER),UNIT,1100,MED-119,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
CHB,PIECE,8.8,AG,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
CRAYONS,BOX,33,OS-852,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
CUTTER KNIFE,PIECE,71.5,OS-058,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
CUTTER/UTILITY KNIFE; for general purpose,PIECE,31.72,44121612-CU-H01,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cake Stand with Tier,PIECE,1650,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cake Turn Table,PIECE,165,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cake and Coupler noozzle,PIECE,398.2,04LE-863,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cake turn table,PIECE,990,04LE-855,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Camera Sling Bag (shoulder cross digital case waterproof rain cover DSLR;can carry Tripod;can accommodate a thumbler;quick access to camera;breathable shoulder strap;adjustable chest strap; waterproof fabric;scratch resistant fabric; 20mm thick detachable protective spacer),UNIT,1700,51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Can Opener,UNIT,531.47,04LE-99,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Canopy Outdoor Tent,LOT,44000,51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cape for Barbershop,PIECE,300,BE-004,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Carpet fluffy 40x60/80x200/rug mat,UNIT,4428.91,51OE-69,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Casserole small,PIECE,620.04,04LE-105,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cellophane 10x18.01,REAM,100,OTS-342,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cellophane 20x30.01,REAM,200,OTS-341,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Cellophane cover 2 rolls,ROLL,5000,OTS-529,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Ceramic 7 inches round soup bowl set of 6,SET,440,29KU,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Ceramic Bowl (white),PIECE,150,51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
Ceramic Plates (white),PIECE,133.1,51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,103,1,5,
