Particulars,Unit,Unit Cost,Stock/Property #,UMIS Account Code and Account Title,UACS Code - Accounting,Account Title - Accounting,UACS Code - Budget,Account Title - Budget,Account Group,Budget Category,PPMP?
Bond paper A4 814 x 1134 80gsm 5 Reams/ Box,BOX,"2,530.00",OS-017,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper Long (8.5x13) 80gsm; Substance 24; color Green 5 reams/box,REAM,275,OS-553,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper Long size 85 x13 70gsm 5 Reams/ Box,BOX,"2,200.00",OS-018,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper Long size 85 x13 70gsm 5 Reams/ Box,BOX,"2,035.00",OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper Long size 85 x13 80gsm 5 Reams/ Box,BOX,"2,750.00",OS-019,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper; A4 8-1/4 x 11-3/4; 80gsm,REAM,308,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper; A4 8-1/4 x 11-3/4; 80gsm,REAM,308,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper; Long size 8.5 x13; 80gsm,REAM,341,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper; Long size 8.5 x13; 80gsm,REAM,341,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper; long size 8.5x13; 80 gsm,REAM,278.3,OS-019,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bondpaper; A4 100gsm,REAM,517,OS-836,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
C2S No. 100 (25 x 38) 1000/Bale,BALE,"13,750.00",OS-023,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
C2S No. 120 (25 x 38) 1000/Bale,BALE,"14,300.00",OS-022,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
C2S No. 180 (25 x 38) 1000/Bale,BALE,"19,800.00",OTS-306,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
C2S No. 220 (25 x 38) 1000/Bale,BALE,"27,500.00",OS-024,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
C2S Paper #100 25 x 38,PIECE,10,OS-025,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
C2S Paper - Magazine Flyer Brochure (large) 50s,SET,263.54,OS-026,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
C2S paper #220 25x38,PIECE,21,OS-245,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
COMPUTER CONTINUOUS FORM 1 ply 280mm x 241mm 2000 sheets per box,BOX,970.81,14111506-CF-L11,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
COMPUTER CONTINUOUS FORM; 1 ply; 280mm x 378mm; 2;000 sheets per box,BOX,"1,166.88",14111506-CF-L12,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
COMPUTER CONTINUOUS FORM; 2 ply; 280mm x 241mm; 1;000 sets per box,BOX,"1,129.13",14111506-CF-L21,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
COMPUTER CONTINUOUS FORM; 2 ply; 280mm x 378mm; 1;000 sets per box,BOX,"1,681.68",14111506-CF-L22,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
COMPUTER CONTINUOUS FORM; 3 ply; 280mm x 241mm; 500 sets per box,BOX,869.44,14111506-CF-L31,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
COMPUTER CONTINUOUS FORM; 3 ply; 280mm x 378mm; 500 sets per box,BOX,"1,658.80",14111506-CF-L32,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
CONTINUOUS FORM; 3 PLY; 280 x 241mm; 500 sets per box,BOX,"1,130.26",OS-052,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"CONTINUOUS FORM; 3 PLY;11""x9-1/2""; 500 sets per box",BOX,"1,130.26",OS-053,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Centenial American Paper  for TOR,REAM,"2,035.00",OS-031,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Concorde watermarked laid paper; A4 (8.27""x11.69"")",PACK,79.73,OS-049,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Concorde watermarked laid paper; Legal (8.5""x13"")",PACK,79.73,OS-050,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Concorde watermarked laid paper; Letter (8.5""x11"")",PACK,79.73,OS-051,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Demarcation tape; black/yellow 2x33m,ROLL,428.71,OS-063,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Demarcation tape; black/yellow 4""",ROLL,292.31,OS-064,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen Board paper A4 10spack Elit Vellum Matte 220gsm,PACK,116.93,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen Board paper; A4; 10's/pack; Elit Vellum (Matte; 220gsm),PACK,116.93,OS-117,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen Board paper; long; 10's/pack; Elit Vellum (Matte; 220gsm),PACK,136.41,OS-118,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen Board paper; short; 10's/pack; Elit Vellum (Matte; 220gsm),PACK,97.44,OS-119,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen paper; Embossed Board (220GSM) - LONG,PACK,136.41,OS-120,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen paper; Embossed Board (220GSM) - LONG; cream,PACK,136.41,OS-121,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen paper; Embossed Board (220GSM) -A4,PACK,116.93,OS-122,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen paper; Embossed Board (220GSM);SHORT,PACK,97.44,OS-123,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen paper; Scented (210GSM) - A4,PACK,124.01,OS-124,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen paper; Scented (210GSM) - LONG,PACK,132.86,OS-125,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Linen paper; Scented (210GSM) - SHORT,PACK,115.16,OS-126,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Morroco- cover paper;short size 100pcs/pack,PACK,350,OS-228,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Morroco-cover paper; Legal size 100pcs/pack,PACK,350,OS-229,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER parchment; 9 x 12 /100 sheets per box,BOX,203.5,14111503-PA-P01,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; MULTICOPY A4,REAM,179.92,DBM-14111507-PP-M01,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; MULTICOPY A4; 500 sheets per ream,REAM,213.8,14111507-PP-M01,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; MULTICOPY LEGAL,REAM,211.12,DBM-14111507-PP-M02,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; MULTICOPY LEGAL; 500 sheets per ream,REAM,232.96,14111507-PP-M02,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; MULTIPURPOSE A4; 500 sheets per ream,ream,137.74,14111507-PP-C01,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; MULTIPURPOSE LEGAL; 500 sheets per ream,ream,158.91,14111507-PP-C02,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; MULTIPUTPOSE A4,REAM,163.28,DBM-14111507-PP-C01,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; PARCHMENT;  229mmx305mm; 230gsm;10pcs per box,PACK,128.84,OS-159,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; PARCHMENT; A4 210mmx297mm; 230gsm;10pcs per box,PACK,136.9,OS-240,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; PARCHMENT; long 216mmx330mm; 230gsm;10pcs per box,PACK,124.01,OS-161,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PAPER; PARCHMENT; short 215.9mmx279.4mm; 230gsm;10pcs per box,PACK,88.58,OS-162,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PARCHMENT PAPER,PACK,50,OS-160,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PHOTO PAPER,PACK,434.84,DBM-80141505-TS-006,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
PRIDE: 20 reams bondpaper @P300*20,REAM,"3,069.00",OS-800,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Paper Parchment 9x12 80gsm 250per pack,PACK,93.5,OS-806,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Paper; Onion Skin A4,REAM,97.44,OS-158,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Parchment Paper (Beige Color),BOX,425,OS-338,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Photo Paper,PACK,"1,350.00",OS-377,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Photo Paper,PACK,135,OS-380,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Photo Paper,PACK,135,OS-412,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Photopaper A4 (8.27"" x 11"")",REAM,112.89,OS-246,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Photopaper A4 Glossy-waterproof 200gsm@20sheets,PACK,192.5,OS-847,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Photopaper Long Glossy,PACK,440,OS-169,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Special Paper for Certificates,PACK,100.75,OTS-100004,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Sticker Paper; A4 size; 5s/pack,PACK,366.05,OTS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
THERMAL PAPER; 216mm,ROLL,61.2,14111818-TH-P02,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper,PACK,40,OS-341,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Black),PIECE,13.2,OS-813,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Bottled Green),PIECE,13.2,OS-815,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Green,PIECE,13.2,OS-811,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Orange),PIECE,13.2,OS-816,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Pink),PIECE,13.2,OS-809,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Powdered Blue),PIECE,13.2,OS-817,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Red),PIECE,13.2,OS-810,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (White),PIECE,13.2,OS-812,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum Paper 28x22 (Yellow Green),PIECE,13.2,OS-814,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Vellum paper #120 25x38,PIECE,27.5,OS-807,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
WORKS SPECIAL PAPER 90 GSMColor: Pale Cream Size: 8.5 x 13 inch long,PACK,38.5,OS-864,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
WORKS SPECIAL PAPER 90 GSMColor: Pale Cream Size:A4,PACK,22,OS-865,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Wokx Linen Board; A4 size;10s/pack,PACK,990,OTS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
bond paper; A-4 81/4X11 3/4; 80 GSM,BOTTLE,266.2,OS-017,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
phopaper A4 glossy,PACK,434.84,OS-169,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
